"Object","Filter","Cadence","MJD","Duration","Flux","Error","Coadd"
"Mrk509","UVW1",1032,57859.2773215768,165.769620001316,3.459991,0.05217018,FALSE
"Mrk509","U",1032,57859.2788115316,82.7579400539398,2.385178,0.043018442,FALSE
"Mrk509","B",1032,57859.2798246704,82.7799999713898,1.379846,0.025575543,FALSE
"Mrk509","HX",1032,57859.2813,1027.9939392,0.989095,0.056104,FALSE
"Mrk509","SX",1032,57859.2813,1027.9939392,1.273828,0.063675,FALSE
"Mrk509","UVW2",1032,57859.2822876676,330.777960002422,4.116301,0.053312254,FALSE
"Mrk509","V",1032,57859.2847381505,82.7799999713898,1.0586773,0.025663153,FALSE
"Mrk509","UVM2",1032,57859.2867597668,258.236520051956,3.5799167,0.056243443,FALSE
"Mrk509","U",1033,57860.2766778348,78.7198600172997,2.4278763,0.04450416,FALSE
"Mrk509","B",1033,57860.277641619,78.7750400304794,1.3226791,0.025185982,FALSE
"Mrk509","HX",1033,57860.27855,902.6280576,0.855139,0.060847,FALSE
"Mrk509","SX",1033,57860.27855,902.6280576,1.300151,0.074922,FALSE
"Mrk509","UVW2",1033,57860.280002587,316.77715998888,3.887618,0.05145317,FALSE
"Mrk509","V",1033,57860.2823449752,78.7860800027847,1.0807613,0.02662638,FALSE
"Mrk509","UVM2",1033,57860.2838151372,166.917020022869,3.6072328,0.0650683,FALSE
"Mrk509","UVW1",1034,57861.0717521154,168.770539999008,3.475673,0.0520819,FALSE
"Mrk509","U",1034,57861.0732709934,84.7769799828529,2.4165943,0.043210925,FALSE
"Mrk509","B",1034,57861.0743046911,84.7769399881363,1.3554688,0.02497532,FALSE
"Mrk509","HX",1034,57861.07574,1033.0080768,0.877823,0.06083,FALSE
"Mrk509","SX",1034,57861.07574,1033.0080768,1.281048,0.073517,FALSE
"Mrk509","UVW2",1034,57861.0768157657,337.77281999588,3.996676,0.0517774,FALSE
"Mrk509","V",1034,57861.0793163051,84.765919983387,1.079518,0.025755794,FALSE
"Mrk509","UVM2",1034,57861.0812777766,245.59275996685,3.6030217,0.05737315,FALSE
"Mrk509","UVW1",1035,57865.3232963891,175.765439987183,3.440761,0.05101475,FALSE
"Mrk509","U",1035,57865.3248731134,87.7779200077057,2.3808009,0.042121964,FALSE
"Mrk509","B",1035,57865.325942566,87.777880012989,1.4067302,0.025362755,FALSE
"Mrk509","HX",1035,57865.32752,1080.6459264,0.776822,0.047817,FALSE
"Mrk509","SX",1035,57865.32752,1080.6459264,1.15335,0.058429,FALSE
"Mrk509","UVW2",1035,57865.3285669068,352.777619957924,4.085386,0.05217325,FALSE
"Mrk509","V",1035,57865.3311722849,87.7668799757957,1.065195,0.025119741,FALSE
"Mrk509","UVM2",1035,57865.3332547484,263.918479979038,3.5558325,0.05561419,FALSE
"Mrk509","UVW1",1036,57866.5851933529,168.770539999008,3.4323378,0.051532066,FALSE
"Mrk509","U",1036,57866.5867067396,83.7398400306702,2.4418833,0.043785671,FALSE
"Mrk509","B",1036,57866.5877296469,83.7729399800301,1.3698766,0.025237066,FALSE
"Mrk509","HX",1036,57866.58906,1010.441952,0.879683,0.057746,FALSE
"Mrk509","SX",1036,57866.58906,1010.441952,1.27049,0.069415,FALSE
"Mrk509","UVW2",1036,57866.5902348473,337.783800005913,4.029353,0.05210573,FALSE
"Mrk509","V",1036,57866.5927289377,83.7729600071907,1.0675956,0.025573698,FALSE
"Mrk509","UVM2",1036,57866.5945774623,227.333280026913,3.6026456,0.058771693,FALSE
"Mrk509","UVW1",1037,57867.6482468598,165.758580029011,3.4207168,0.05166174,FALSE
"Mrk509","U",1037,57867.6497380278,82.7799599766731,2.4478222,0.044042405,FALSE
"Mrk509","B",1037,57867.6507481015,82.7799800038338,1.35448005,0.025106626,FALSE
"Mrk509","HX",1037,57867.65218,1020.4719552,0.836594,0.056246,FALSE
"Mrk509","SX",1037,57867.65218,1020.4719552,1.20603,0.067698,FALSE
"Mrk509","UVW2",1037,57867.653219207,331.781879961491,4.0628237,0.05268454,FALSE
"Mrk509","V",1037,57867.6556742226,82.7799800038338,1.0832057,0.02591175,FALSE
"Mrk509","UVM2",1037,57867.6576456543,249.233579993248,3.561719,0.05664723,FALSE
"Mrk509","UVW1",1038,57868.3127802094,155.784820020199,3.3833254,0.05228316,FALSE
"Mrk509","U",1038,57868.314187992,77.7710600495338,2.3603828,0.04345835,FALSE
"Mrk509","B",1038,57868.3151417523,77.7269199490547,1.4085696,0.026552633,FALSE
"Mrk509","HX",1038,57868.31642,960.2960832,0.782006,0.052473,FALSE
"Mrk509","SX",1038,57868.31642,960.2960832,1.13669,0.063176,FALSE
"Mrk509","UVW2",1038,57868.3174607087,311.779280006886,3.9984804,0.052881167,FALSE
"Mrk509","V",1038,57868.3197705347,77.7820799946785,1.0567799,0.02621162,FALSE
